Fe,C,Cr,Ni,Mn,S,Si,Mo,V,W,Co,Al,P,Cu,Ti,Tensile_Strength_MPa
75.48,0.2,9.18,0.95,1.68,0.03,1.88,3,0.18,2.42,3.32,0.37,0.03,0.49,0.78,834.96
82.36,0.95,1.66,4.93,0.92,0.02,1.24,2.81,0.09,0.66,0.26,0.95,0.03,2.57,0.54,1273.12
63.78,0.24,11.28,10.11,0.82,0.02,1.3,3.09,0.15,4.08,3.18,0.54,0.04,0.46,0.92,996.36
60.86,0.98,6.01,16.61,0.66,0.03,0.46,3.66,0.17,4.5,1.86,0.47,0,2.93,0.81,1600.86
50.35,0.54,16.56,18.62,1.07,0.01,0.97,1.62,0.45,4.56,1.41,0.84,0.05,2.42,0.53,1420.82
61.49,0.06,13.25,10.58,0.79,0.04,0.53,4.48,0.69,3.05,2.62,0.21,0.03,2.17,0.01,918.68
62.34,0.45,14.98,12.64,1.23,0.01,1.26,3.93,0.4,0.91,0.39,0.51,0.03,0.49,0.42,1149.7
57.49,0.33,10.95,14.5,1.27,0.04,1.16,4.18,0.83,3.98,2.88,0.99,0,0.59,0.81,1232.72
54.91,0.99,14.74,17.45,0.85,0.05,0.42,4.68,0.56,0.82,3.68,0.3,0.01,0.52,0.03,1678.85
61.21,1.17,7.91,16.87,1.94,0,0.21,1.74,0.87,4.19,1.83,0.2,0.04,1.79,0.03,1793.5
67.56,0.97,17.23,0.84,0.57,0.04,1.17,4.95,0.92,0.89,3.37,0.65,0.01,0.27,0.57,1634.1
67.37,0.29,10.02,7.67,1.78,0.02,1.74,1.95,0.58,1.43,4.05,0.84,0.04,1.92,0.3,881.19
52.07,0.77,17.27,12.97,1.91,0.02,1.69,3.59,0.82,3.55,2.4,0.69,0.05,1.25,0.95,1678.64
63.5,0.3,12.48,10.94,0.58,0.01,0.15,2.68,0.45,1.45,4.85,0.82,0.03,1.57,0.19,992.21
55.38,0.78,17.17,17.97,0.17,0,1.92,1,0.55,0.37,4.22,0.12,0.03,0.17,0.16,1409.22
83.84,0.24,2.45,0.81,1.94,0.02,1.72,1.79,0.04,3.48,0.19,0.55,0.01,2.01,0.89,752.46
62.6,1.15,9.5,10.65,0.08,0.04,1.91,2.19,0.79,3.99,3.93,0.76,0.01,2.25,0.14,1688.07
54.99,0.99,15.75,13.76,1.95,0,1.42,2.62,0.15,3.29,4,0.16,0.04,0.28,0.59,1719.72
76.27,0.96,2.63,11.43,0.85,0.03,0.85,1.25,0.25,4.32,0.78,0.12,0,0.22,0.01,1337.08
79.4,0.33,2.23,1.88,1.08,0.04,1.26,2.78,0.44,3.17,4.51,0.63,0,1.71,0.52,858.02
59.66,0.55,10.24,13.45,0.07,0.02,1.63,2.65,0.07,3.88,4.71,0.85,0.02,1.6,0.59,1290.46
58.3,0.25,15.17,16.98,0.81,0.01,1.22,1.79,0.74,1.58,1.31,0.87,0.03,0.26,0.69,1078.32
62.33,0.91,4.23,19.35,0.75,0.05,0.59,3.05,0.52,4.96,2.04,0.18,0.04,0.13,0.88,1545.4
65.14,0.86,6.05,16.89,1.19,0.02,0.65,0.56,0.64,1.82,1.6,0.95,0.01,2.63,0.97,1351.79
71.04,0.99,0.35,17.37,0.43,0.02,1.98,2.02,0.65,1.55,1.85,0.6,0.05,0.85,0.25,1396.56
76.13,0.68,2.28,10.22,0.38,0.05,0.61,0.46,0.84,2.01,4.1,0.31,0.03,1.34,0.56,1077.53
63.61,0.49,8.94,13.59,0.83,0.03,1.43,3.74,0.47,0.02,3.77,0.91,0.03,1.57,0.56,1138.95
60.01,0.74,13.56,14.84,1.29,0.02,1.15,3.65,0.85,0.64,1.39,0.4,0.03,1.19,0.24,1441.82
62.04,0.05,15.17,8.38,0.66,0.03,0.25,1.99,0.75,3.68,3.86,0.47,0.02,2.49,0.17,873.19
75.51,0.35,3.56,10.25,0.43,0.04,0.49,1.57,0.89,1.03,4.42,0.21,0.05,0.95,0.25,839.01
76.17,0.58,6.65,4.03,0.68,0.04,1.66,4.1,0.76,0.03,2.13,0.17,0,2.21,0.79,1153.93
69.76,0.14,2.68,11.81,0.25,0,0.39,3.94,0.93,1.67,4.87,0.81,0.01,1.76,0.98,859.25
74.91,1.02,6.54,6.13,1.64,0.03,0.33,1.64,0.66,0.77,3.49,0.71,0.01,1.19,0.94,1450.52
71,0.62,3.84,11.83,1.54,0,0.23,2.37,0.44,4.91,0.46,0.32,0.04,1.84,0.56,1239.98
72.54,0.89,0.72,18.95,0.38,0,0.68,3.51,0.23,0.25,0.29,0.26,0.01,1.12,0.17,1294.67
73.96,0.89,4.09,9.5,1.63,0.05,1.11,2.16,0.63,2.43,0.82,0.46,0.05,1.92,0.28,1268.04
73.24,1.14,6.99,7.8,1.23,0.03,0.58,2.34,0.33,3.69,0.61,0.75,0.01,0.92,0.33,1576.12
53.88,0.94,10,19.66,0.35,0.03,1.59,3.14,0.9,3,4.13,0.18,0.01,1.33,0.85,1683.45
66.96,0.52,11.29,7.92,1.61,0.01,1.19,2.89,0.4,3.53,0.14,0.84,0.02,2.38,0.31,1187.33
70.34,0.96,12.66,8.02,1.88,0.02,0.7,0.72,0.07,1.75,0.46,0.46,0.04,1.43,0.48,1362.45
79.97,0.31,2.99,4.45,1.14,0.03,0.44,1.99,0.57,3.8,1.6,0.27,0.04,1.54,0.86,866.73
71.72,0.2,10.53,5.67,0.2,0.03,1.01,2.43,0.59,1.86,3.35,0.13,0.04,1.74,0.49,812.37
73.39,0.16,5.01,5.91,0.47,0.05,1.83,2.73,0.21,4.56,3.75,0.04,0.02,1.81,0.07,790.56
84.25,0.01,0.84,3.3,1.82,0.04,0.9,2.4,0.69,2.37,0.32,0.74,0,1.46,0.86,549.46
68.92,0.15,12.72,0.93,1.99,0.03,1.94,3.34,0.24,4.63,3.13,0.58,0.02,0.85,0.53,966.87
60.5,0.04,9.54,16.73,0.06,0.01,0.1,2.98,0.32,4.8,3.08,0.56,0.05,0.67,0.56,861.76
63.91,0.66,1.48,18.64,1.4,0.04,1.97,2.4,0.8,2.89,4.89,0.25,0,0.56,0.13,1253.36
78.51,0.27,1.73,9.74,0.53,0.02,0.18,2.58,0.13,0.5,1.55,0.87,0.04,2.88,0.46,718.79
64.84,0.38,17.48,7.64,0.02,0.04,0.34,3.59,0.02,0.55,2.42,0.07,0.04,2.25,0.33,1080.24
57.9,0.91,7.12,17.98,1.88,0.01,1.82,3.56,0.89,2.12,3.31,0.24,0.04,1.75,0.48,1630.54
61.99,0.83,9.94,15.31,1.72,0.04,0.62,4.88,0.65,1.62,0.21,0.99,0.03,0.68,0.49,1528.94
60.13,0.6,8.72,15.89,0.78,0.01,1.54,4.55,0.05,4.3,2.19,0.29,0,0.62,0.33,1366.35
72.61,0.09,3.4,14.74,1.37,0.04,0.33,0.22,0.47,1.71,3.88,0.54,0.05,0.18,0.36,596.44
74.35,0.7,0.72,14.25,0.07,0.04,0.13,2.28,0.16,0.67,3.61,0.77,0.04,1.21,0.99,1096.51
63.1,0.41,4.42,19.93,1.95,0.03,0.42,1.19,0.52,3.88,0.39,0.69,0.01,2.53,0.53,1052.53
68.9,0.66,2.06,18.1,0.46,0.04,0.61,1.11,0.3,3.54,2.63,0.11,0.01,1.14,0.34,1156.89
69.65,1.02,10.3,3.73,0.06,0.01,1.4,4.24,0.78,3.95,1.3,0.99,0,2.46,0.1,1612.21
75.77,0.07,7.1,7,1.29,0.04,0.18,0.19,0.78,2.64,2.67,0.98,0.02,0.59,0.68,595.75
66.43,0.98,9.04,13.84,1.03,0.02,0.07,0.87,0.48,1.98,4.21,0.11,0,0.26,0.68,1527.86
59.92,0.2,9.29,15.35,1.37,0.02,0.21,4.35,0.53,4.45,2.19,0.24,0.02,1.25,0.61,1111.55
79.41,0.93,4.37,3.75,0.41,0.05,0.33,1.73,0.49,2.78,4.29,0.11,0.01,0.95,0.41,1246.72
52.93,1.02,15.06,16.11,1.51,0,0.3,3.66,0.59,3.37,3.58,0.91,0.03,0.83,0.08,1722.17
66.55,0.52,12.78,5.64,0.24,0.05,0.84,1.08,0.16,4.31,4.1,0.61,0.03,2.85,0.23,1104.03
63.06,0.51,6.92,18.99,0.72,0.04,1.53,0.74,0.96,3.15,2.98,0.01,0.03,0.17,0.19,1134.24
65.6,0.13,6.81,15.91,1.41,0.01,1.6,2.3,0.03,1.12,3.93,0.73,0.01,0.11,0.3,784.88
46.19,0.61,17.98,18.77,1.99,0.03,0.85,4.47,0.9,0.72,3.88,0.92,0.04,2.12,0.54,1520.37
69.47,0.93,9.29,6.42,0.52,0.03,0.91,2.62,0.26,2.95,3.31,0.81,0.03,2.27,0.17,1426.44
67.15,1.02,10.01,9.11,1.52,0.01,0.01,1.55,0.25,1.54,4.87,0.57,0.03,1.97,0.4,1484.71
55.01,1.17,17.52,15.38,0.42,0.04,0.2,3.15,0.46,0.2,4.52,0.96,0.05,0.58,0.33,1747.95
64.63,0.19,15.96,2.68,1.19,0.02,0.84,1.06,0.62,4.94,4.17,0.68,0.04,2.52,0.47,1037.81
55.65,0.68,16.12,13.92,0.27,0.04,0.05,4.24,0.79,4.15,0.12,0.97,0.03,2.4,0.57,1461.5
75,0.09,9.77,2.87,1.14,0.03,0.88,0.78,0.43,4.39,2.29,0.34,0.03,1.86,0.09,670.6
70.58,0.29,8.9,7.33,0.64,0.02,0.58,1.74,0.77,2.55,4.36,0.95,0.05,0.76,0.47,943.58
70.16,0.68,4.55,10.95,0.09,0.04,1.13,3.26,0.2,2.79,2.65,0.62,0.04,2.29,0.55,1209.92
76.12,1.07,6.45,9.85,1.3,0.02,0.72,0.56,0.64,0.96,0.69,0.18,0.03,0.42,0.98,1407.91
67.83,0.72,0.14,16.89,0.54,0,1.52,1.65,0.57,4.22,3.88,0.34,0.04,1.17,0.5,1312.08
75.11,0.74,1.28,11.94,1.15,0.04,0.71,1.21,0.48,3.44,2.81,0.14,0.02,0.19,0.74,1269.59
65.98,0.53,9.05,14.21,0.97,0.05,1.08,0.36,0.95,0.73,3.92,0.53,0.04,1.54,0.06,1092.47
63.08,0.46,11.17,12.58,1.95,0.03,0.57,0.22,0.79,4.45,3.07,0.48,0.04,0.72,0.4,1114.88
80,0.83,3.39,6.66,0.83,0.03,0.13,1.7,0.27,0.01,3.46,0.24,0.01,2.39,0.04,1127.19
71.15,1.08,12.36,3.43,0.7,0.05,1.24,3.04,0.65,2.31,0.84,0.15,0.03,2.65,0.3,1572.79
73.69,0.32,7.02,7.27,0.07,0.03,0.42,0.64,0.71,3.83,4.44,0.93,0.04,0.37,0.22,857.23
80.2,0.16,6.36,2.48,1.31,0.04,0.32,3.11,0.02,2.17,1.43,1,0.05,0.44,0.92,757.48
66.99,0.65,13.07,6.7,0.14,0.02,1.09,2.77,0.79,0.22,4.94,0.99,0,1.03,0.59,1195.92
71.4,0.45,8.78,6.52,1.42,0.02,0.86,2.88,0.97,3.21,0.48,0.32,0.02,2.22,0.45,1140.86
61.08,0.13,13.78,14.91,1.64,0.05,0.62,2.15,0.26,1.64,1.65,0.87,0,0.61,0.61,911.93
69.2,0.92,12.55,0.93,0.91,0.01,1.98,4.99,0.05,3.34,4.07,0.32,0.03,0.56,0.13,1540.26
78.71,0.98,9.59,3.09,0.75,0.04,0.03,1.04,0.25,1.31,0.49,0.85,0.01,2.49,0.36,1316.4
67.33,0.55,8.33,14.26,1.46,0.03,1.55,0.04,0.5,2.62,1.2,0.56,0.02,1.42,0.12,1140.87
56.96,0.5,8.77,19.35,1.74,0.05,0.16,3.09,0.22,2.02,3.4,0.58,0.03,2.44,0.68,1214.14
57.57,0.99,16.77,14.24,0.79,0.01,0.54,1.98,0.74,0.2,4.07,0.76,0.02,1.2,0.11,1570.13
70.26,0.98,9.17,4.94,0.04,0.03,1.5,3.83,0.21,4.98,2.84,0.33,0.02,0.37,0.49,1547.81
61.86,0.91,7.37,17.34,0.95,0.05,1.41,0.28,0.07,4,1.78,0.19,0.04,2.95,0.81,1448.36
74.34,0.5,0.35,14.82,0.84,0.03,0.94,0.13,0.64,3.94,0.78,0.89,0.01,1.27,0.53,959.88
61.23,0.38,9.01,14.37,1.43,0.05,1.72,4.93,0.6,2,1.2,0.24,0.01,2.18,0.65,1204.24
82.92,0.67,1.24,1.23,0.29,0.01,1.77,3.89,0.2,1.24,3.18,0.87,0.02,1.58,0.89,1084.44
65.25,0.93,16.05,5.56,1.38,0.01,1.23,1.52,0.7,0.71,3.33,0.71,0.04,2.06,0.52,1459.72
70.93,0.82,13.04,7.85,1.98,0.02,0.17,1.52,0.1,1.7,0.64,0.44,0.04,0.2,0.56,1339.15
53.33,0.06,15.92,18.43,0.98,0.04,1.19,1.7,0.25,3.79,2.15,0.92,0.05,0.63,0.56,971.03
68.54,0.83,10.93,13.58,0.78,0.05,0.12,0.15,0.42,0.77,2.72,0.01,0.02,0.88,0.2,1255.91
57.31,0.54,15.38,13.11,0.32,0.02,1.86,2.2,0.47,4.71,0.68,0.74,0.01,2.6,0.05,1340.05
63.89,1.11,2.03,18.27,0.72,0,0.22,4.42,0.98,4.48,2.21,0.96,0.02,0.34,0.34,1707.08
70.5,1.2,11.27,6.8,1.25,0.02,0.1,1.01,0.02,1.27,3.7,0.19,0.03,2.1,0.55,1510.43
69.78,0.66,9.24,3.75,1.5,0.01,0.92,3.78,0.7,2.16,3.94,0.71,0.02,2.69,0.14,1256.03
60.61,0.44,12.56,17.46,0.65,0.03,0.02,1.85,0.33,4.21,0.37,0.06,0.02,1.22,0.16,1121.93
77.8,0.07,0.75,7.78,1.73,0.04,0.74,3.87,0.75,2.41,2.02,0.18,0.01,1.02,0.81,719.28
77.77,0.67,3.62,1.92,0.99,0.03,1.64,3.99,0.82,2.24,4.33,0.44,0.01,1.19,0.34,1242.1
79.37,0.79,4.05,6.32,1.19,0,1.38,0.89,0.85,2.01,1.1,0.67,0.03,0.52,0.83,1175.33
69.43,0.55,2.74,15.92,0.27,0.05,0.88,3.64,0.45,0.94,3.79,0.29,0.03,0.77,0.24,1124.7
71.78,0.74,1.16,14.68,1.16,0.03,0.71,2.78,0.37,0.41,4.22,0.68,0.03,0.58,0.66,1194.39
68.69,0.29,12.38,6.67,0.32,0.05,0.21,3.81,0.1,3.42,0.55,0.51,0.01,2.6,0.4,1010.42
64.72,0.53,7.4,9.08,1.72,0.03,1.34,3.6,0.94,4.19,4.64,0.34,0.01,0.61,0.86,1289.69
73.2,1,11.71,1.26,0.64,0.04,0.5,3.12,0.54,1.31,4.67,0.26,0.04,1.62,0.09,1452.6
62.69,1,11.49,14.23,1.81,0.01,0.17,0.63,0.87,2.81,0.88,0.14,0.02,2.45,0.81,1597.02
71.53,1.02,13.84,1.23,1.44,0.03,1.45,2.42,0.48,0.63,4.53,0.37,0.03,0.62,0.37,1485.04
68.27,0.26,4.69,11.49,1.04,0.01,1.38,4.54,0.2,3.36,2.93,0.33,0.03,0.63,0.83,1010.12
63.97,0.04,10.21,6.38,1.76,0.02,1.6,4.62,0.33,4.4,3.63,0.11,0.01,2.45,0.47,954.09
78.25,1.09,2.03,7.47,1.79,0.04,1.44,0.51,0.62,2.91,0.84,0.77,0.02,1.86,0.36,1410.24
73.39,0.11,9.45,6.13,0.14,0.01,1.24,0.51,0.09,4.72,0.54,0.38,0.01,2.82,0.48,741.12
55.54,0.94,16.22,14.11,0.11,0.03,0.77,3.74,0.59,3.63,0.9,0.44,0.02,2.94,0.02,1649.44
82.69,0.98,1.75,1.61,0.66,0.04,1.36,3.14,0.77,1.16,3.17,0.64,0.03,1.78,0.22,1290.84
73.77,0.65,1.95,7.27,1.95,0.03,1.12,4.77,0.89,2.84,1.34,0.12,0.04,2.76,0.49,1307.21
67.51,0.12,10.91,7.35,0.32,0.05,0.48,3.56,0.43,4.14,3.5,0.12,0.02,0.78,0.71,829.75
74.87,0.4,2.06,4.28,1.43,0.03,0.71,4.18,0.48,3.97,3.91,0.85,0.04,2.04,0.75,1042.47
72.47,0.93,3.04,6,0.21,0.01,1.56,4.74,0.67,4.43,1.59,0.85,0.02,2.68,0.8,1495.45
59.56,1.05,10.28,17.16,0.77,0,0.1,3.35,0.11,3.73,2.1,0.56,0.04,0.76,0.41,1667.12
58.87,0.88,16.53,5.81,1.25,0.05,1.3,4.46,0.94,4.65,3.79,0.55,0,0.67,0.26,1657.19
74.34,0.21,0.98,8.33,1.64,0.04,1.81,3.73,0.24,3.51,3.77,0.54,0.04,0.21,0.59,841.23
73.77,0.58,14.49,2.56,0.43,0.03,1.89,0.42,0.74,1.03,0.53,0.39,0.03,2.48,0.63,1026.47
76.88,0.36,13.87,2.28,0.29,0.04,1.92,0.6,0.61,1.2,0.13,0.83,0.03,0.07,0.9,880.12
68.7,0.65,13.27,8.47,0.37,0.02,0.58,1.48,0.64,0.47,1.99,0.55,0.04,1.9,0.89,1213.6
62.51,0.05,9.6,13.27,0.83,0.02,1.09,4.53,0.26,2,3.27,0.19,0.04,2,0.35,890.99
62.74,0.87,5.03,15.49,0.14,0.02,0.52,4.08,0.75,4.21,3.26,0.8,0.02,2.03,0.03,1520.24
73.66,1.04,13.88,5.73,0.55,0.04,0.37,0.55,0.02,1.49,0.5,0.8,0.02,0.76,0.6,1424.26
63.87,0.09,13.07,10.03,0.01,0.02,1.5,0.94,0.96,4.48,3.89,0.08,0.02,0.89,0.14,891.88
60.6,0.18,8.45,19.51,0.49,0.04,0.16,3,0.34,3.5,2.16,0.3,0.03,0.42,0.81,956.35
70.66,0.9,9.81,7.34,1.83,0.03,0.57,4.03,0.64,0.64,0.57,0.94,0.01,1.99,0.04,1379.97
55.8,0.18,13.92,16.19,1.43,0,0.57,1.8,0.69,3.78,3.14,0.79,0.02,1.63,0.06,1038.09
67.06,0.52,7.79,12.23,0.76,0.01,0.48,0.67,0.7,3.11,2.9,0.53,0.02,2.31,0.92,1065.44
62.38,0.2,12.07,11.16,1.98,0.03,0.58,2.81,0.98,3.62,0.64,0.34,0.01,2.57,0.61,994.62
72.28,0.97,3.17,18.16,0.12,0.02,0.03,0.92,0.96,0.39,0.73,0.92,0.04,1.22,0.07,1318.63
65.42,0.39,6.49,10.11,1.1,0.04,1.54,3.84,0.73,3.79,3.39,0.87,0.03,1.56,0.7,1182.37
54.45,0.21,13.99,18.72,0.59,0.03,0.07,3.83,0.56,3.37,0.71,0.81,0.01,2.05,0.59,1091.08
57.68,0.89,14.31,9.5,0.82,0.02,1.86,3.78,0.7,4.63,1.74,0.63,0.03,2.99,0.43,1661.19
81.8,0.49,1.52,1.97,1.02,0.01,0.15,4.82,0.95,1.63,3.95,0.87,0.02,0.67,0.13,1011.12
65.69,0.47,12.48,10.77,0.79,0.01,0.67,4.2,0.81,0.14,0.7,0.76,0.02,1.93,0.56,1155.29
65.44,0.79,0.97,18.62,0.04,0,0.45,4.97,0.07,4.37,0.8,0.11,0.04,2.54,0.79,1440.83
70.83,0.1,6.16,9.26,0.14,0.03,1.12,4.96,0.62,1.99,3.95,0.33,0.03,0.17,0.32,806.24
69.07,0.64,12.64,1.98,1.59,0.05,0.56,3.83,0.18,2.62,3.99,0.39,0,1.62,0.84,1269.39
82.29,0.44,1.57,1.93,1.23,0.03,0.58,2.26,0.39,3.48,4.31,0.77,0,0.3,0.43,939.34
68.43,1.02,4.27,17.58,0.22,0,1.83,0.81,0.46,1.63,0.74,0.63,0.05,1.97,0.35,1410.49
69.39,0.7,8.45,7.2,1.48,0.01,1.07,4.27,0.2,1.32,3.3,0.77,0.01,1.08,0.74,1327.01
76.64,0.35,11.99,3.18,0.82,0.03,0.92,0.1,0.41,1.44,0.51,0.01,0,2.85,0.75,824.72
69.25,0.04,8.39,12.93,0.13,0.02,0.18,1.81,0.47,1.69,2.88,0.58,0.02,1.17,0.44,698.29
67.32,0.46,13.69,2.8,1.71,0.02,1.45,4.42,0.89,2.26,1.28,0.61,0.01,2.37,0.71,1217.75
69.64,0.67,1.85,13.75,0.97,0.03,1.69,3.86,0.54,1.78,2.23,0.35,0.01,1.94,0.69,1301.8
53.62,1.17,8.2,19.95,0.37,0.03,1.99,3.2,0.45,2.58,4.23,0.94,0.02,2.32,0.93,1821.71
67.46,1.19,6.36,12.39,1.31,0.01,1.61,2.06,0.5,3.21,2.05,0.33,0.03,1.04,0.43,1631.91
68.12,0.14,15.21,8.23,0.17,0.04,0.04,3,0.7,0.96,0.66,0.11,0.05,2.27,0.31,854.82
86.62,0.55,4.88,1.14,1.57,0.04,0.41,0.32,0.12,2.07,1.5,0.07,0.02,0.61,0.07,809.88
61.67,0.79,10.31,16.53,0.6,0.01,0.72,3.89,0.24,1.28,0.74,0.99,0.05,1.97,0.21,1422.07
61.17,0.9,15.49,6.37,1.83,0.04,1.09,3.42,0.41,3.28,2.74,0.32,0.02,1.95,0.96,1652.27
61.77,0.25,7.07,16.11,0.25,0.05,1.36,4.55,0.84,3.89,0.16,0.41,0.01,2.61,0.68,1070.42
66.78,0.09,13.32,8.37,0.47,0.03,0.08,1.29,0.18,4.65,1.89,0.58,0.03,1.98,0.28,776.94
86.13,0.15,1.47,3.87,0.97,0.01,0.87,0.15,0.63,4.39,0.24,0.22,0.02,0.86,0.04,631.02
64.38,0.98,15.75,0.78,1.31,0.03,1.09,2.52,0.8,4.84,4.14,0.87,0.02,2.07,0.42,1632.2
56.85,0.44,16.12,18.1,1.36,0.04,0.72,2.17,0.82,1.99,0.2,0.35,0.02,0.46,0.34,1266.9
61.51,0.19,13.55,9.52,1.45,0.03,0.47,4.17,0.57,3.92,0.47,0.62,0.01,2.58,0.95,1055.53
73.96,0.08,13.04,2.06,1.72,0.01,0.39,1.26,0.73,1.46,2.98,0.57,0.02,1.62,0.12,698.17
67.57,1.06,9.34,12.28,0.51,0.01,0.98,1.34,0.42,2.2,1.35,0.29,0.05,1.76,0.83,1542.21
79.38,0.06,0.03,10.38,1.65,0.03,1.24,0.7,0.98,2.65,0.51,0.41,0,1.25,0.71,588.54
65.66,0.62,8.97,9.34,1.03,0,0.95,4.96,0.76,1.44,3.39,0.33,0.01,2.32,0.21,1283.83
63.51,1.03,6.85,15.14,0.52,0.03,0.43,0.11,0.81,4.28,4.4,0.04,0.04,2.51,0.31,1457.73
63.25,0.53,15.24,8.36,0.6,0.01,1.35,0.42,0.06,3.41,3.47,0.2,0.05,2.36,0.69,1147.06
69.01,0.91,7.41,9.11,1.74,0,1.6,2.24,0.46,1.63,3.04,0.68,0.01,1.7,0.46,1444.12
66.44,0.52,9.52,9.81,1.87,0.02,0.07,3.31,0.6,4.55,0.59,0.52,0.01,1.37,0.8,1304.18
59.34,1.03,15.01,10.95,1.27,0.03,1.12,4.43,0.21,2.19,3.05,0.77,0.04,0.35,0.22,1680.32
63.38,0.01,3.6,19.39,0.62,0.03,1.45,3.23,0.38,2.15,4.19,0.66,0,0.61,0.29,789.2
70.9,0.44,10.38,7.33,1.65,0.02,1,2.14,0.31,3.62,1.15,0.69,0.03,0.31,0.02,1070.41
60.51,0.47,14.49,10.04,0.07,0.04,1.87,0.37,0.21,3.58,4.99,0.88,0,1.82,0.67,1125.04
71.79,0.76,10.23,5.84,1.34,0.04,1.15,2.49,0.22,2.72,0.64,0.07,0.04,2.03,0.65,1287.27
73.53,0.49,7.45,9.31,1.03,0.04,0.44,2.17,0.51,0.85,3.51,0.06,0.03,0.61,0.01,999.48
66.09,0.39,7.72,16.35,0.82,0.05,1.69,0.96,0.16,1.22,1.8,0.58,0.01,1.6,0.58,982.45
63.16,0.99,11.55,18.49,1.4,0.02,0.42,0.05,0.09,0.95,1.08,0.74,0.02,0.97,0.05,1497.18
61.85,0.65,11.03,17.56,1.01,0,0.13,1.36,0.14,3.85,0.54,0.16,0.03,0.72,0.97,1326.84
79.12,0.42,1.02,6.73,0.75,0.01,0.24,3.34,0.23,3.39,2.74,0.9,0.04,0.45,0.61,955.27
55.64,0.79,15.52,12.82,0.28,0.01,1.28,4.56,0.89,1.8,4.15,0.51,0.02,1.05,0.68,1533.56
69.62,0.92,6.83,11.69,0.78,0.01,0.32,3.28,0.81,2.34,1.63,0.34,0.03,1.4,0,1484.06
73.47,0.93,2.56,13.5,0.69,0.03,1.71,0.77,0.78,0.19,4.61,0.2,0.04,0.2,0.33,1328.27
68.39,0.84,6.32,13.32,0.86,0.03,1.09,0.84,0.85,4.34,1.02,0.42,0.02,1.65,0.02,1398.33
66.95,0.91,15.52,2.84,1.79,0.04,1.08,1.37,0.21,2.45,2.54,0.65,0.04,2.8,0.8,1452.36
82.78,0.06,0.93,5.37,1.23,0.02,0.33,4.25,0.98,0.08,0.45,0.5,0.02,2.35,0.65,651.96
71.39,0.09,9.81,6.73,1.93,0.02,1.86,0.15,0.1,1.93,4.43,0.54,0.04,0.85,0.11,696.08
75.42,1.05,8.19,3.87,1.28,0.01,1.14,0.51,0.81,4.03,2.71,0.04,0.01,0.41,0.52,1451.85
55.53,0.13,15.66,17,0.31,0.03,1.39,1.98,0.15,0.66,3.7,0.22,0.03,2.6,0.59,914.41
68.44,0.38,15.34,6.22,1.94,0.02,1.91,0.92,0.01,0.98,0.49,0.73,0.01,1.92,0.67,998.79
69.4,0.83,14.99,2.98,0.1,0,0.21,1.9,0.97,1.77,2.26,0.81,0.05,2.91,0.83,1336.57
79.08,0.72,3.54,1.11,1.84,0.02,1.02,3.05,0.45,2.22,4.58,0.82,0.01,0.88,0.66,1197.75
56.01,0.69,13.79,14.55,1.42,0.04,1.53,1.21,0.87,1.68,4.55,0.82,0,2.31,0.5,1390.04
73.19,0.09,5.28,8.6,1.18,0.01,1.03,2.42,0.84,1.51,2.25,0.39,0.03,2.51,0.68,753.66
69.72,0.56,11.48,6.44,0.29,0.02,0.89,2.2,0.74,4.68,1.94,0.09,0,0.01,0.94,1284.7
63.44,0.22,10.7,16.27,1.72,0.04,0.16,1.74,0.97,0.96,2.27,0.33,0.01,0.97,0.19,889.41
69.17,1.05,3.14,12.47,1.88,0.05,1.2,1.35,0.25,3.74,4.9,0.08,0.04,0.37,0.3,1442.35
75.32,0.78,7.51,4.38,1.06,0,1.48,2.61,0.95,0.51,3.66,0.3,0.02,1.05,0.36,1289.98
70.06,0.52,0.38,16.94,1.76,0,1.55,0.36,0.81,3.06,1.53,0.61,0.03,1.91,0.48,1091.85
81.97,0.71,3.05,1.49,0.04,0.02,0.66,2.84,0.45,1.97,4.22,0.62,0.03,1.15,0.78,1053.85
82.47,0.19,7.24,0.94,0.23,0,0.88,3.49,0.31,0.13,3.54,0.21,0.04,0.02,0.31,720.47
64.62,0.91,8.09,14.37,1.08,0.04,1.54,4.88,0.1,1.7,0.96,0.63,0.03,0.61,0.42,1515.75
70.03,0.73,11.86,2.05,1.84,0,1.95,1.58,0.32,2.23,3.47,0.16,0.01,2.88,0.88,1320.99
69.08,0.25,9.9,7.32,0.72,0.03,0.5,2.02,0.93,3.78,1.92,0.23,0.03,2.42,0.86,913.04
67.94,0.68,9.3,14.39,0.35,0.04,0.15,3.02,0.59,1.55,0.18,0.72,0,0.54,0.54,1204.25
59.51,0.81,17.15,5.37,1.91,0.04,1.21,3.79,0.86,4.02,1.63,0.81,0.02,2.6,0.26,1603.17
68.32,0.69,12.47,8.52,1.57,0.05,0.37,0.17,0.63,3.01,1.71,0.79,0.04,1,0.68,1188.4
68.21,1.16,6.24,12.41,0.76,0,0.18,1.16,0.81,2.21,2.94,0.94,0.01,2.59,0.38,1640.19
55.25,0.41,11.26,17.97,0.7,0.04,0.04,3.12,0.63,2.78,4.69,0.94,0.02,1.37,0.79,1210.04
64.38,0.43,14.77,7.54,0.81,0.01,1.09,1.63,0.59,2.24,3.74,0.28,0.01,2.11,0.38,1149.55
62.76,0.68,16.94,9.68,0.3,0.02,0.96,3.83,0.2,1.73,0.25,0.7,0.04,1.37,0.54,1332.24
